ISIN,Ticker,InstrumentName,InstrumentType,Currency,Exchange,Price,Vendor
USNCB5RC1EAX,KO,The Coca-Cola Company,Consumer Defensive,USD,NYQ,62.55,VendorA
USKXCIXID2AG,TMUS,"T-Mobile US, Inc.",Communication Services,USD,NMS,220.31,VendorA
US9A7E9MF2J1,CVX,Chevron Corporation,Energy,USD,NYQ,142.85,VendorA
USBS22OF7RPJ,MRK,"Merck & Co., Inc.",Healthcare,USD,NYQ,98.05,VendorA
USJ73Z0H1P97,WFC,Wells Fargo & Company,Financial Services,USD,NYQ,70.34,VendorA
USA4WBCBU1WX,CSCO,"Cisco Systems, Inc.",Technology,USD,NMS,58.52,VendorA
USBE9UPHSKHQ,ACN,Accenture plc,Technology,USD,NYQ,366.37,VendorA
USQT20P6FAVQ,NOW,"ServiceNow, Inc.",Technology,USD,NYQ,1091.25,VendorA
USOT54LLYRFN,AXP,American Express Company,Financial Services,USD,NYQ,298.65,VendorA
USW7VS1UNCI2,MCD,McDonald's Corporation,Consumer Cyclical,USD,NYQ,292.68,VendorA
USSO5HGA9537,PEP,"PepsiCo, Inc.",Consumer Defensive,USD,NMS,152.79,VendorA
US6GZJ4MBL9I,BX,Blackstone Inc.,Financial Services,USD,NYQ,170.84,VendorA
USOD56V8ZLWU,IBM,International Business Machines Corporation,Technology,USD,NYQ,223.36,VendorA
USU9IWIBWFZK,DIS,The Walt Disney Company,Communication Services,USD,NYQ,112.03,VendorA
USZC06A2XR0K,LIN,Linde plc,Basic Materials,USD,NMS,424.31,VendorA
USWPIT26YHV1,TMO,Thermo Fisher Scientific Inc.,Healthcare,USD,NYQ,524.05,VendorA
US9IGGTP4338,MS,Morgan Stanley,Financial Services,USD,NYQ,123.44,VendorA
USISYIJU5HO6,ABT,Abbott Laboratories,Healthcare,USD,NYQ,114.23,VendorA
USRZYDTRL4GM,ADBE,Adobe Inc.,Technology,USD,NMS,447.17,VendorA
USWVYZ28BBQZ,AMD,"Advanced Micro Devices, Inc.",Technology,USD,NMS,119.21,VendorA
USAI5SNNQCN9,PM,Philip Morris International Inc.,Consumer Defensive,USD,NYQ,124.22,VendorA
USRIGQXX8GNM,ISRG,"Intuitive Surgical, Inc.",Healthcare,USD,NMS,524.43,VendorA
USCHF7LMF91H,PLTR,Palantir Technologies Inc.,Technology,USD,NMS,80.55,VendorA
USVJIC7UILX3,GE,GE Aerospace,Industrials,USD,NYQ,168.37,VendorA
USKTMQ9IO3RV,INTU,Intuit Inc.,Technology,USD,NMS,643.39,VendorA
USKID18NK7UD,GS,"The Goldman Sachs Group, Inc.",Financial Services,USD,NYQ,566.1,VendorA
USOMDJJXXSHN,CAT,Caterpillar Inc.,Industrials,USD,NYQ,366.04,VendorA
USDCVZL7Y79A,TXN,Texas Instruments Incorporated,Technology,USD,NMS,186.87,VendorA
USJQ0C6BKWKU,QCOM,QUALCOMM Incorporated,Technology,USD,NMS,152.89,VendorA
USV399BMIOKC,VZ,Verizon Communications Inc.,Communication Services,USD,NYQ,39.93,VendorA
USAETN7TNKHJ,BKNG,Booking Holdings Inc.,Consumer Cyclical,USD,NMS,5048.59,VendorA
USLQ5RDA65JZ,DHR,Danaher Corporation,Healthcare,USD,NYQ,228.55,VendorA
US3UAR4L4ZE0,T,AT&T Inc.,Communication Services,USD,NYQ,22.75,VendorA
US8WTAZV6CEU,BLK,"BlackRock, Inc.",Financial Services,USD,NYQ,1028.69,VendorA
USRI67ZJ7ZSI,RTX,RTX Corporation,Industrials,USD,NYQ,116.48,VendorA
US7KRLLR59JA,SPGI,S&P Global Inc.,Financial Services,USD,NYQ,491.81,VendorA
USVML265XHMH,PFE,Pfizer Inc.,Healthcare,USD,NYQ,26.36,VendorA
USDG005QSEF8,HON,Honeywell International Inc.,Industrials,USD,NMS,228.32,VendorA
US6KWNXLKJM3,NEE,"NextEra Energy, Inc.",Utilities,USD,NYQ,71.67,VendorA
US2GL3NC2G5U,CMCSA,Comcast Corporation,Communication Services,USD,NMS,38.22,VendorA
USQ74I4FMWQ1,ANET,Arista Networks Inc,Technology,USD,NYQ,112.81,VendorA
USJQLE9WHCEL,AMGN,Amgen Inc.,Healthcare,USD,NMS,263.38,VendorA
USZA3G637ZI2,PGR,The Progressive Corporation,Financial Services,USD,NYQ,239.97,VendorA
US70I9FPNOJ7,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,USD,NYQ,247.72,VendorA
US8UBZBSHU76,SYK,Stryker Corporation,Healthcare,USD,NYQ,364.6,VendorA
USCAGFFJLIPH,UNP,Union Pacific Corporation,Industrials,USD,NYQ,226.32,VendorA
USZVSFM5NXHN,TJX,"The TJX Companies, Inc.",Consumer Cyclical,USD,NYQ,122.0,VendorA
US0PGSMK1Q29,KKR,KKR & Co. Inc.,Financial Services,USD,NYQ,147.58,VendorA
US7WBJUP3U6R,SCHW,The Charles Schwab Corporation,Financial Services,USD,NYQ,74.31,VendorA
USMU6LTF1SWS,ETN,Eaton Corporation plc,Industrials,USD,NYQ,338.12,VendorA
USACN83EVK7E,AMAT,"Applied Materials, Inc.",Technology,USD,NMS,163.59,VendorA
US6FGIAF3WZX,BA,The Boeing Company,Industrials,USD,NYQ,177.35,VendorA
US8D5PAYDRO9,BSX,Boston Scientific Corporation,Healthcare,USD,NYQ,88.95,VendorA
USSMJJZ7PNEU,C,Citigroup Inc.,Financial Services,USD,NYQ,69.19,VendorA
USZSZDBS89CO,UBER,"Uber Technologies, Inc.",Technology,USD,NYQ,60.73,VendorA
USAQA488WJUS,COP,ConocoPhillips,Energy,USD,NYQ,95.12,VendorA
USHISXS3MTGE,PANW,"Palo Alto Networks, Inc.",Technology,USD,NMS,186.78,VendorA
USU2T6EGQ9DW,ADP,"Automatic Data Processing, Inc.",Technology,USD,NMS,294.02,VendorA
USTXWJRH13QZ,DE,Deere & Company,Industrials,USD,NYQ,432.49,VendorA
US4VPLJ7K2TO,FI,"Fiserv, Inc.",Technology,USD,NYQ,206.05,VendorA
USTYRXCIJTS7,BMY,Bristol-Myers Squibb Company,Healthcare,USD,NYQ,57.33,VendorA
USAUC0NWIA49,LMT,Lockheed Martin Corporation,Industrials,USD,NYQ,489.02,VendorA
USX1NEGZSN7H,GILD,"Gilead Sciences, Inc.",Healthcare,USD,NMS,92.57,VendorA
USIYUABYHS9L,NKE,"NIKE, Inc.",Consumer Cyclical,USD,NYQ,76.94,VendorA
USEB5AY3BGM5,CB,Chubb Limited,Financial Services,USD,NYQ,273.2,VendorA
US5CDMFSF0JE,UPS,"United Parcel Service, Inc.",Industrials,USD,NYQ,125.68,VendorA
US9ZQM4D5EII,ADI,"Analog Devices, Inc.",Technology,USD,NMS,211.78,VendorA
USE18Y9VK987,MMC,"Marsh & McLennan Companies, Inc.",Financial Services,USD,NYQ,211.74,VendorA
US0EO5LKE7M5,MDT,Medtronic plc,Healthcare,USD,NYQ,81.03,VendorA
USHUOCB7DQ16,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,USD,NMS,397.27,VendorA
USQFD6PUBS2O,MU,"Micron Technology, Inc.",Technology,USD,NMS,90.12,VendorA
USJRB9GR7B43,SBUX,Starbucks Corporation,Consumer Cyclical,USD,NMS,87.97,VendorA
US7UJ3Q1CWY7,PLD,"Prologis, Inc.",Real Estate,USD,NYQ,103.32,VendorA
USR7QXKKEUUK,GEV,GE Vernova Inc.,Utilities,USD,NYQ,342.66,VendorA
US3ZD4U9A6T9,LRCX,Lam Research Corporation,Technology,USD,NMS,71.79,VendorA
USNGGELZT5OZ,MO,"Altria Group, Inc.",Consumer Defensive,USD,NYQ,53.84,VendorA
USIRRJ6NL4HH,SO,The Southern Company,Utilities,USD,NYQ,82.86,VendorA
USYDZWZ7KKRT,EQIX,"Equinix, Inc.",Real Estate,USD,NMS,927.22,VendorA
USK2MB0OMAPT,CRWD,"CrowdStrike Holdings, Inc.",Technology,USD,NMS,362.29,VendorA
US2M6YLVVTDP,PYPL,"PayPal Holdings, Inc.",Financial Services,USD,NMS,87.13,VendorA
USZQ9VVYDJVT,SHW,The Sherwin-Williams Company,Basic Materials,USD,NYQ,345.47,VendorA
USOOK6IJWRFQ,ICE,"Intercontinental Exchange, Inc.",Financial Services,USD,NYQ,150.31,VendorA
USS76VYARYYU,CME,CME Group Inc.,Financial Services,USD,NMS,238.53,VendorA
USQJ3TL31YHH,AMT,American Tower Corporation,Real Estate,USD,NYQ,183.73,VendorA
US9FH2I7L7YT,APH,Amphenol Corporation,Technology,USD,NYQ,70.58,VendorA
USKGF7637VX4,ELV,"Elevance Health, Inc.",Healthcare,USD,NYQ,365.96,VendorA
US6U3JJ5GEWH,TT,Trane Technologies plc,Industrials,USD,NYQ,377.11,VendorA
US93MPUVRDAA,MCO,Moody's Corporation,Financial Services,USD,NYQ,466.35,VendorA
USBML4Q9W2BC,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,USD,NYQ,61.87,VendorA
US9FM9WQ0XCT,INTC,Intel Corporation,Technology,USD,NMS,19.52,VendorA
US26WP7OP65K,KLAC,KLA Corporation,Technology,USD,NMS,629.37,VendorA
USOQIZ8816ID,ABNB,"Airbnb, Inc.",Consumer Cyclical,USD,NMS,134.21,VendorA
USXKBFI7KN1Y,DUK,Duke Energy Corporation,Utilities,USD,NYQ,108.28,VendorA
USAHYIJ70FLJ,PH,Parker-Hannifin Corporation,Industrials,USD,NYQ,647.2,VendorA
US16EWVEAV2H,CDNS,"Cadence Design Systems, Inc.",Technology,USD,NMS,301.47,VendorA
USAMAE1KNFPC,WM,"Waste Management, Inc.",Industrials,USD,NYQ,205.83,VendorA
US1MX9FFYI7T,DELL,Dell Technologies Inc.,Technology,USD,NYQ,115.77,VendorA
USPV9P53EQA3,MDLZ,"Mondelez International, Inc.",Consumer Defensive,USD,NMS,59.39,VendorA
USHW60PZ7GWH,MAR,"Marriott International, Inc.",Consumer Cyclical,USD,NMS,283.96,VendorA
USAURJ40N4Z8,MSI,"Motorola Solutions, Inc.",Technology,USD,NYQ,469.94,VendorA
USUY8UXLTJ8J,WELL,Welltower Inc.,Real Estate,USD,NYQ,124.64,VendorA
US9S3NSBPOK3,AON,Aon plc,Financial Services,USD,NYQ,358.47,VendorA
USVYX573WGT9,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,USD,NMS,701.85,VendorA
USK16G9QEXGI,CI,The Cigna Group,Healthcare,USD,NYQ,276.92,VendorA
USTCNITU1PHU,HCA,"HCA Healthcare, Inc.",Healthcare,USD,NYQ,303.62,VendorA
USE4F0PANE24,PNC,"The PNC Financial Services Group, Inc.",Financial Services,USD,NYQ,192.76,VendorA
USO9OX1IK1JR,ITW,Illinois Tool Works Inc.,Industrials,USD,NYQ,258.82,VendorA
USE4MLHSVPM3,SNPS,"Synopsys, Inc.",Technology,USD,NMS,492.18,VendorA
USCYQRSNJFG4,CTAS,Cintas Corporation,Industrials,USD,NMS,186.94,VendorA
USBY61UJATH8,CL,Colgate-Palmolive Company,Consumer Defensive,USD,NYQ,92.03,VendorA
US4MQ2VLXVRH,USB,U.S. Bancorp,Financial Services,USD,NYQ,47.92,VendorA
USXFAGWRMMWB,FTNT,"Fortinet, Inc.",Technology,USD,NMS,97.19,VendorA
USK9S73A05MU,ZTS,Zoetis Inc.,Healthcare,USD,NYQ,164.84,VendorA
USBUYY89CGN3,MCK,McKesson Corporation,Healthcare,USD,NYQ,579.74,VendorA
US74349S51WE,GD,General Dynamics Corporation,Industrials,USD,NYQ,263.64,VendorA
USWUFOJ39OSK,TDG,TransDigm Group Incorporated,Industrials,USD,NYQ,1276.15,VendorA
US69KVXB8U6R,CEG,Constellation Energy Corporation,Utilities,USD,NMS,227.02,VendorA
US63ZLYLRPM6,AJG,Arthur J. Gallagher & Co.,Financial Services,USD,NYQ,283.1,VendorA
US9UEIFDE2MB,EMR,Emerson Electric Co.,Industrials,USD,NYQ,124.09,VendorA
USTWX2LY66LC,MMM,3M Company,Industrials,USD,NYQ,129.28,VendorA
USBNT777AGC7,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,USD,NMS,1219.11,VendorA
USK9HL00NA48,NOC,Northrop Grumman Corporation,Industrials,USD,NYQ,469.54,VendorA
USXVPUM4UH29,COF,Capital One Financial Corporation,Financial Services,USD,NYQ,178.65,VendorA
USCLOGMGA81G,ECL,Ecolab Inc.,Basic Materials,USD,NYQ,238.29,VendorA
US5DZ5TV8SXI,EOG,"EOG Resources, Inc.",Energy,USD,NYQ,119.04,VendorA
US8OKD2GHQC0,FDX,FedEx Corporation,Industrials,USD,NYQ,275.73,VendorA
US7C3CXBIE72,BDX,"Becton, Dickinson and Company",Healthcare,USD,NYQ,227.68,VendorA
US2JJPLQ2KJB,APD,"Air Products and Chemicals, Inc.",Basic Materials,USD,NYQ,294.99,VendorA
USFIFIXCNRQ5,WMB,"The Williams Companies, Inc.",Energy,USD,NYQ,53.49,VendorA
US7KWZ46CSZ8,SPG,"Simon Property Group, Inc.",Real Estate,USD,NYQ,171.61,VendorA
USX82Y0Z0MDP,ADSK,"Autodesk, Inc.",Technology,USD,NMS,298.12,VendorA
USNRD3P8FM71,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,USD,NYQ,238.43,VendorA
USKIOB8TSOFF,RSG,"Republic Services, Inc.",Industrials,USD,NYQ,203.73,VendorA
USUNM0BW1SOC,CARR,Carrier Global Corporation,Industrials,USD,NYQ,68.49,VendorA
USXY0HP7PQMQ,CSX,CSX Corporation,Industrials,USD,NMS,31.85,VendorA
US2N22B6J3LC,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,USD,NYQ,249.42,VendorA
USNQONCFDBME,DLR,"Digital Realty Trust, Inc.",Real Estate,USD,NYQ,178.57,VendorA
USW4I20U14Z4,TGT,Target Corporation,Consumer Defensive,USD,NYQ,131.48,VendorA
USAM2FKYLDIQ,KMI,"Kinder Morgan, Inc.",Energy,USD,NYQ,26.85,VendorA
USAKZBESW41W,OKE,"ONEOK, Inc.",Energy,USD,NYQ,100.08,VendorA
USS01VLXO279,TFC,Truist Financial Corporation,Financial Services,USD,NYQ,43.32,VendorA
USDZ3RGFKYY5,AFL,Aflac Incorporated,Financial Services,USD,NYQ,102.69,VendorA
US147CKOS4VV,GM,General Motors Company,Consumer Cyclical,USD,NYQ,51.81,VendorA
USR50R3L4185,BK,The Bank of New York Mellon Corporation,Financial Services,USD,NYQ,77.62,VendorA
USF7NS21U1XY,ROP,"Roper Technologies, Inc.",Technology,USD,NMS,525.4,VendorA
US9Z1IV5OMIQ,MET,"MetLife, Inc.",Financial Services,USD,NYQ,81.36,VendorA
USGDH5T5WTM5,CPRT,"Copart, Inc.",Industrials,USD,NMS,58.22,VendorA
USJUY9A9UUGE,FCX,Freeport-McMoRan Inc.,Basic Materials,USD,NYQ,38.86,VendorA
USU0LNJHUIX1,CVS,CVS Health Corporation,Healthcare,USD,NYQ,44.36,VendorA
USTYVGMN756R,PCAR,PACCAR Inc,Industrials,USD,NMS,105.32,VendorA
USSR8D5R1YOM,SRE,Sempra,Utilities,USD,NYQ,86.81,VendorA
US1LXXKWR0HV,AZO,"AutoZone, Inc.",Consumer Cyclical,USD,NYQ,3253.47,VendorA
USCCWIB4WDDX,TRV,"The Travelers Companies, Inc.",Financial Services,USD,NYQ,240.76,VendorA
USY5DXGERUIU,NXPI,NXP Semiconductors N.V.,Technology,USD,NMS,210.24,VendorA
USDRT12FFZ2F,JCI,Johnson Controls International plc,Industrials,USD,NYQ,80.64,VendorA
USE6YE4UT1O5,GWW,"W.W. Grainger, Inc.",Industrials,USD,NYQ,1092.96,VendorA
US2F5P75LTSX,NSC,Norfolk Southern Corporation,Industrials,USD,NYQ,234.15,VendorA
US148KHWTE08,PSA,Public Storage,Real Estate,USD,NYQ,297.5,VendorA
USWXAR2DLGCK,SLB,Schlumberger Limited,Energy,USD,NYQ,36.83,VendorA
US72AMK6N6MA,AMP,"Ameriprise Financial, Inc.",Financial Services,USD,NYQ,532.12,VendorA
USOXZGDSRNP3,ALL,The Allstate Corporation,Financial Services,USD,NYQ,193.56,VendorA
US25WKD75N1W,FICO,Fair Isaac Corporation,Technology,USD,NYQ,2090.98,VendorA
USZOYKD0JCRS,MNST,Monster Beverage Corporation,Consumer Defensive,USD,NMS,51.72,VendorA
UST1KWQWD3CS,PAYX,"Paychex, Inc.",Technology,USD,NMS,139.54,VendorA
US7TEWZ0YMQ4,CHTR,"Charter Communications, Inc.",Communication Services,USD,NMS,351.5,VendorA
USC86EHOLUZ2,AEP,"American Electric Power Company, Inc.",Utilities,USD,NMS,92.75,VendorA
USS151VDNHUO,ROST,"Ross Stores, Inc.",Consumer Cyclical,USD,NMS,149.15,VendorA
USUS1EPUMKK2,PWR,"Quanta Services, Inc.",Industrials,USD,NYQ,328.41,VendorA
USIH0QH10C57,CMI,Cummins Inc.,Industrials,USD,NYQ,351.38,VendorA
USZSOBJINWXS,AXON,"Axon Enterprise, Inc.",Industrials,USD,NMS,631.69,VendorA
USEK0F0GJIR3,VST,Vistra Corp.,Utilities,USD,NYQ,139.95,VendorA
USGGFYBT3IHI,URI,"United Rentals, Inc.",Industrials,USD,NYQ,722.64,VendorA
USJAD7SCH2TT,MSCI,MSCI Inc.,Financial Services,USD,NYQ,604.8,VendorA
USIQE6FRAMWI,LULU,Lululemon Athletica Inc.,Consumer Cyclical,USD,NMS,379.42,VendorA
US47C2EPY1KF,O,Realty Income Corporation,Real Estate,USD,NYQ,52.79,VendorA
USTO90Y1L1XL,PSX,Phillips 66,Energy,USD,NYQ,110.37,VendorA
USIR6BV48YNY,AIG,"American International Group, Inc.",Financial Services,USD,NYQ,72.69,VendorA
USCCD6FVLJEQ,FANG,"Diamondback Energy, Inc.",Energy,USD,NMS,154.94,VendorA
USM4D72XX4FH,D,"Dominion Energy, Inc.",Utilities,USD,NYQ,53.66,VendorA
USKGLZLOJQEA,HWM,Howmet Aerospace Inc.,Industrials,USD,NYQ,110.83,VendorA
US9T6NI1HX37,DHI,"D.R. Horton, Inc.",Consumer Cyclical,USD,NYQ,139.61,VendorA
USFM1VNFIADS,KR,The Kroger Co.,Consumer Defensive,USD,NYQ,61.85,VendorA
USH4PJCFGTPY,NDAQ,"Nasdaq, Inc.",Financial Services,USD,NMS,77.7,VendorA
USD464PGBP4L,OXY,Occidental Petroleum Corporation,Energy,USD,NYQ,47.13,VendorA
US6VILR5VDI4,EW,Edwards Lifesciences Corporation,Healthcare,USD,NYQ,74.81,VendorA
USMCGGSQKPDJ,COR,"Cencora, Inc.",Healthcare,USD,NYQ,227.69,VendorA
USFD3XGA2XBQ,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,USD,NMS,32.37,VendorA
US9KQVY19U2Z,FIS,"Fidelity National Information Services, Inc.",Technology,USD,NYQ,81.46,VendorA
USP5350ZOB3G,KMB,Kimberly-Clark Corporation,Consumer Defensive,USD,NYQ,131.32,VendorA
USTI7JU73ILI,NEM,Newmont Corporation,Basic Materials,USD,NYQ,38.28,VendorA
US3IY773XAUA,DFS,Discover Financial Services,Financial Services,USD,NYQ,173.16,VendorA
UST5NRWTL0KI,PCG,PG&E Corporation,Utilities,USD,NYQ,19.82,VendorA
USNWGKVGI24W,TEL,TE Connectivity plc,Technology,USD,NYQ,143.67,VendorA
USYZ6USMTDN6,MPC,Marathon Petroleum Corporation,Energy,USD,NYQ,133.38,VendorA
USA6GVTIGA9C,FAST,Fastenal Company,Industrials,USD,NMS,74.82,VendorA
USYEFCJN00UH,AME,"AMETEK, Inc.",Industrials,USD,NYQ,183.36,VendorA
USF265EX96EP,PEG,Public Service Enterprise Group Incorporated,Utilities,USD,NYQ,85.06,VendorA
USI36T343JKN,PRU,"Prudential Financial, Inc.",Financial Services,USD,NYQ,117.83,VendorA
USTVGVDPH9O0,KVUE,Kenvue Inc.,Consumer Defensive,USD,NYQ,21.77,VendorA
US0SLW758B9H,STZ,"Constellation Brands, Inc.",Consumer Defensive,USD,NYQ,227.63,VendorA
US6Z1SF2SKTL,GLW,Corning Incorporated,Technology,USD,NYQ,47.31,VendorA
USK6TSY9FHWR,LHX,"L3Harris Technologies, Inc.",Industrials,USD,NYQ,213.55,VendorA
USLWQXDPP8BO,GRMN,Garmin Ltd.,Technology,USD,NYQ,208.99,VendorA
USIOUK1T46SP,BKR,Baker Hughes Company,Energy,USD,NMS,40.32,VendorA
USUP7CUC65E7,CBRE,"CBRE Group, Inc.",Real Estate,USD,NYQ,129.16,VendorA
USSXH64CNHLK,CTVA,"Corteva, Inc.",Basic Materials,USD,NYQ,57.48,VendorA
USQ3GU9L1XXC,HES,Hess Corporation,Energy,USD,NYQ,128.19,VendorA
USIXZ07EILXZ,CCI,Crown Castle Inc.,Real Estate,USD,NYQ,90.66,VendorA
USW2UM969BDZ,DAL,"Delta Air Lines, Inc.",Industrials,USD,NYQ,60.93,VendorA
USIL2VJZO32Y,CTSH,Cognizant Technology Solutions Corporation,Technology,USD,NMS,79.23,VendorA
USCLJQAOKQRS,F,Ford Motor Company,Consumer Cyclical,USD,NYQ,9.88,VendorA
US726C00W2RB,VRSK,"Verisk Analytics, Inc.",Industrials,USD,NMS,276.86,VendorA
USXA9UM2D8LX,EA,Electronic Arts Inc.,Communication Services,USD,NMS,147.8,VendorA
USC6WC889SA6,ODFL,"Old Dominion Freight Line, Inc.",Industrials,USD,NMS,181.37,VendorA
USLR1V1XQ5LZ,XEL,Xcel Energy Inc.,Utilities,USD,NMS,67.4,VendorA
US61GXUBNLDZ,TRGP,Targa Resources Corp.,Energy,USD,NYQ,176.79,VendorA
US71I9PKQCXH,A,"Agilent Technologies, Inc.",Healthcare,USD,NYQ,134.51,VendorA
USZCX0YVAGH6,IT,"Gartner, Inc.",Technology,USD,NYQ,491.25,VendorA
US5S78TSA5PM,LVS,Las Vegas Sands Corp.,Consumer Cyclical,USD,NYQ,52.25,VendorA
USIMX1CHI44T,SYY,Sysco Corporation,Consumer Defensive,USD,NYQ,76.97,VendorA
USBL7NMMNNDJ,VLO,Valero Energy Corporation,Energy,USD,NYQ,118.59,VendorA
USNSJ5HPFYAK,OTIS,Otis Worldwide Corporation,Industrials,USD,NYQ,93.56,VendorA
USQOKL7FT8Z8,LEN,Lennar Corporation,Consumer Cyclical,USD,NYQ,138.08,VendorA
US2CY2ZRV40H,EXC,Exelon Corporation,Utilities,USD,NMS,37.02,VendorA
USMML0NM4H83,IR,Ingersoll Rand Inc.,Industrials,USD,NYQ,92.28,VendorA
USYESKY7K6M7,YUM,"Yum! Brands, Inc.",Consumer Cyclical,USD,NYQ,132.36,VendorA
USI0YK6XHC1Z,KHC,The Kraft Heinz Company,Consumer Defensive,USD,NMS,30.52,VendorA
USANU2TXPFKM,GEHC,GE HealthCare Technologies Inc.,Healthcare,USD,NMS,78.91,VendorA
USAS4PV70DY2,IQV,IQVIA Holdings Inc.,Healthcare,USD,NYQ,197.27,VendorA
USKR4PD0GC6Y,GIS,"General Mills, Inc.",Consumer Defensive,USD,NYQ,63.61,VendorA
USWM4GVCB3NB,CCL,Carnival Corporation & plc,Consumer Cyclical,USD,NYQ,26.8,VendorA
USX4G2L7CRWI,RMD,ResMed Inc.,Healthcare,USD,NYQ,237.27,VendorA
USH8V73MI74S,VMC,Vulcan Materials Company,Basic Materials,USD,NYQ,263.13,VendorA
US0I6LERMRN0,HSY,The Hershey Company,Consumer Defensive,USD,NYQ,170.26,VendorA
USW4G7B6X2OD,ACGL,Arch Capital Group Ltd.,Financial Services,USD,NMS,90.99,VendorA
USASL9JXYYM8,IDXX,"IDEXX Laboratories, Inc.",Healthcare,USD,NMS,412.26,VendorA
US1YN32NOEYN,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,USD,NYQ,193.03,VendorA
USAZG70FTYG7,ROK,"Rockwell Automation, Inc.",Industrials,USD,NYQ,289.79,VendorA
USUBQVVY8VRP,MLM,"Martin Marietta Materials, Inc.",Basic Materials,USD,NYQ,533.69,VendorA
USFMH6OLIE8Q,EXR,Extra Space Storage Inc.,Real Estate,USD,NYQ,147.0,VendorA
USAIEQY3TRTZ,DD,"DuPont de Nemours, Inc.",Basic Materials,USD,NYQ,77.28,VendorA
US5WY9YYF93M,ETR,Entergy Corporation,Utilities,USD,NYQ,75.13,VendorA
USILS67Z2NVG,DECK,Deckers Outdoor Corporation,Consumer Cyclical,USD,NYQ,210.97,VendorA
US0A7OGA6LYP,EFX,Equifax Inc.,Industrials,USD,NYQ,258.43,VendorA
USM93VBJS0BL,UAL,"United Airlines Holdings, Inc.",Industrials,USD,NMS,97.4,VendorA
USVWMXXLSPDO,WTW,Willis Towers Watson Public Limited Company,Financial Services,USD,NMS,317.57,VendorA
USF4HNRZ6T75,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,USD,NMS,181.97,VendorA
USRB0W8CNSBU,HIG,"The Hartford Financial Services Group, Inc.",Financial Services,USD,NYQ,109.47,VendorA
US3Q7R18DZAL,RJF,"Raymond James Financial, Inc.",Financial Services,USD,NYQ,155.05,VendorA
USWDONJ7XKVH,AVB,"AvalonBay Communities, Inc.",Real Estate,USD,NYQ,222.17,VendorA
